index,showTime,danmuType,color,fontSize,content,submitTime,sender
"0","582.468","R2L","FFFFFF","25","把贞子弄怀孕那位，贞子双性人","1518008917","61f4b960"
"1","553.463","R2L","FFFFFF","25","把电视断电，是不是贞子就卡住了，然后我就可以嘿嘿嘿","1512381053","e645dec1"
"2","551.017","R2L","FFFFFF","25","我瞬间脱下裤子，单身几十年，终于逮到了","1512435187","89f95022"
"3","551.604","R2L","FFFFFF","25","迷你的贞子233","1512398872","55adb574"
"4","548.731","R2L","FF0000","25","电脑的我","1518268230","ef38b11f"
"5","548.161","R2L","FFFFFF","25","神明会保佑我的","1516944461","206a784e"
"6","545.544","R2L","FFFFFF","25","诺基亚看的","1515500084","346ab04b"
"7","547.688","R2L","FFFFFF","25","怕，花了说明显卡要换了，又是几千块。。。","1564931634","a421fdad"
"8","547.884","R2L","FFFFFF","25","显卡花了当然怕","1512383044","6ff628e3"
"9","538.73","R2L","FFFFFF","25","对着贞子撸","1512377958","1bb1b221"
"10","539.63","R2L","FFFFFF","25","我已经饥渴20年","1524624377","68e99799"
"11","539.521","R2L","FFFFFF","25","敢日","1513230869","1c57ffd5"
"12","540.583","R2L","FFFFFF","25","需要看看里版压压惊","1512569780","1e6ddcff"
"13","543.841","R2L","FFFFFF","25","上她","1512439302","dc183e39"
"14","543.447","R2L","FFFFFF","25","学学宁采臣","1512401090","138c0f1a"
"15","532.982","R2L","00FF00","25","放心，贞子钻的是显像管，现在谁家不用液晶屏对吧？","1512386963","3451e434"
"16","538.173","R2L","FFFFFF","25","单身久了，贞子姐姐可真是眉清目秀","1525151609","fc5d97c6"
"17","537.518","TOP","E70012","25","我手机突然花屏了我真的日了鬼了","1519872022","12e7c66c"
"18","536.378","R2L","FFFFFF","25","大吉大利，别乱讲","1512379167","92336b34"
"19","533.162","R2L","FFFFFF","25","手机里钻出来算我输","1515426537","21efbcba"
"20","536.442","R2L","FFFFFF","25","如果他出来我就把电视机关啦。","1514553171","b8567106"
"21","533.973","R2L","FFFFFF","25","抱歉，只有信号弱！","1512710668","c827295d"
